NEDC CYCLE,
Time(sec),Velocity(mps)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1.055555556
13,2.083333333
14,3.138888889
15,4.166666667
16,4.166666667
17,4.166666667
18,4.166666667
19,4.166666667
20,4.166666667
21,4.166666667
22,4.166666667
23,4.166666667
24,3.333333333
25,2.5
26,1.666666667
27,0.833333333
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0.75
51,0.083333333
52,2.222222222
53,2.972222222
54,3.694444444
55,4.444444444
56,5.194444444
57,5.916666667
58,6.666666667
59,7.416666667
60,8.138888889
61,8.888888889
62,8.888888889
63,8.888888889
64,8.888888889
65,8.888888889
66,8.888888889
67,8.888888889
68,8.888888889
69,8.888888889
70,8.888888889
71,8.888888889
72,8.888888889
73,8.888888889
74,8.888888889
75,8.888888889
76,8.888888889
77,8.888888889
78,8.888888889
79,8.888888889
80,8.888888889
81,8.888888889
82,8.888888889
83,8.888888889
84,8.888888889
85,8.888888889
86,8.083333333
87,7.277777778
88,6.472222222
89,5.666666667
90,4.861111111
91,4.027777778
92,3.222222222
93,2.416666667
94,1.611111111
95,0.805555556
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0.527777778
119,1.055555556
120,1.611111111
121,2.138888889
122,2.666666667
123,3.194444444
124,3.75
125,4.277777778
126,4.805555556
127,5.333333333
128,5.888888889
129,6.5
130,6.944444444
131,7.472222222
132,8
133,8.555555556
134,9.083333333
135,9.611111111
136,10.13888889
137,10.69444444
138,11.22222222
139,11.75
140,12.27777778
141,12.83333333
142,13.36111111
143,13.88888889
144,13.88888889
145,13.88888889
146,13.88888889
147,13.88888889
148,13.88888889
149,13.88888889
150,13.88888889
151,13.88888889
152,13.88888889
153,13.88888889
154,13.88888889
155,13.88888889
156,13.36111111
157,12.83333333
158,12.33333333
159,11.80555556
160,11.27777778
161,10.25
162,10.25
163,9.722222222
164,9.722222222
165,9.722222222
166,9.722222222
167,9.722222222
168,9.722222222
169,9.722222222
170,9.722222222
171,9.722222222
172,9.722222222
173,9.722222222
174,9.722222222
175,9.722222222
176,9.722222222
177,8.916666667
178,8.111111111
179,7.277777778
180,6.472222222
181,5.666666667
182,4.861111111
183,4.055555556
184,3.25
185,2.416666667
186,1.611111111
187,0.805555556
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1.055555556
209,2.083333333
210,3.138888889
211,4.166666667
212,4.166666667
213,4.166666667
214,4.166666667
215,4.166666667
216,4.166666667
217,4.166666667
218,4.166666667
219,4.166666667
220,3.333333333
221,2.5
222,1.666666667
223,0.833333333
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0.75
247,0.083333333
248,2.222222222
249,2.972222222
250,3.694444444
251,4.444444444
252,5.194444444
253,5.916666667
254,6.666666667
255,7.416666667
256,8.138888889
257,8.888888889
258,8.888888889
259,8.888888889
260,8.888888889
261,8.888888889
262,8.888888889
263,8.888888889
264,8.888888889
265,8.888888889
266,8.888888889
267,8.888888889
268,8.888888889
269,8.888888889
270,8.888888889
271,8.888888889
272,8.888888889
273,8.888888889
274,8.888888889
275,8.888888889
276,8.888888889
277,8.888888889
278,8.888888889
279,8.888888889
280,8.888888889
281,8.888888889
282,8.083333333
283,7.277777778
284,6.472222222
285,5.666666667
286,4.861111111
287,4.027777778
288,3.222222222
289,2.416666667
290,1.611111111
291,0.805555556
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.527777778
315,1.055555556
316,1.611111111
317,2.138888889
318,2.666666667
319,3.194444444
320,3.75
321,4.277777778
322,4.805555556
323,5.333333333
324,5.888888889
325,6.5
326,6.944444444
327,7.472222222
328,8
329,8.555555556
330,9.083333333
331,9.611111111
332,10.13888889
333,10.69444444
334,11.22222222
335,11.75
336,12.27777778
337,12.83333333
338,13.36111111
339,13.88888889
340,13.88888889
341,13.88888889
342,13.88888889
343,13.88888889
344,13.88888889
345,13.88888889
346,13.88888889
347,13.88888889
348,13.88888889
349,13.88888889
350,13.88888889
351,13.88888889
352,13.36111111
353,12.83333333
354,12.33333333
355,11.80555556
356,11.27777778
357,10.25
358,10.25
359,9.722222222
360,9.722222222
361,9.722222222
362,9.722222222
363,9.722222222
364,9.722222222
365,9.722222222
366,9.722222222
367,9.722222222
368,9.722222222
369,9.722222222
370,9.722222222
371,9.722222222
372,9.722222222
373,8.916666667
374,8.111111111
375,7.277777778
376,6.472222222
377,5.666666667
378,4.861111111
379,4.055555556
380,3.25
381,2.416666667
382,1.611111111
383,0.805555556
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0.75
443,0.083333333
444,2.222222222
445,2.972222222
446,3.694444444
447,4.444444444
448,5.194444444
449,5.916666667
450,6.666666667
451,7.416666667
452,8.138888889
453,8.888888889
454,8.888888889
455,8.888888889
456,8.888888889
457,8.888888889
458,8.888888889
459,8.888888889
460,8.888888889
461,8.888888889
462,8.888888889
463,8.888888889
464,8.888888889
465,8.888888889
466,8.888888889
467,8.888888889
468,8.888888889
469,8.888888889
470,8.888888889
471,8.888888889
472,8.888888889
473,8.888888889
474,8.888888889
475,8.888888889
476,8.888888889
477,8.888888889
478,8.083333333
479,7.277777778
480,6.472222222
481,5.666666667
482,4.861111111
483,4.027777778
484,3.222222222
485,2.416666667
486,1.611111111
487,0.805555556
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0.527777778
511,1.055555556
512,1.611111111
513,2.138888889
514,2.666666667
515,3.194444444
516,3.75
517,4.277777778
518,4.805555556
519,5.333333333
520,5.888888889
521,6.5
522,6.944444444
523,7.472222222
524,8
525,8.555555556
526,9.083333333
527,9.611111111
528,10.13888889
529,10.69444444
530,11.22222222
531,11.75
532,12.27777778
533,12.83333333
534,13.36111111
535,13.88888889
536,13.88888889
537,13.88888889
538,13.88888889
539,13.88888889
540,13.88888889
541,13.88888889
542,13.88888889
543,13.88888889
544,13.88888889
545,13.88888889
546,13.88888889
547,13.88888889
548,13.36111111
549,12.83333333
550,12.33333333
551,11.80555556
552,11.27777778
553,10.25
554,10.25
555,9.722222222
556,9.722222222
557,9.722222222
558,9.722222222
559,9.722222222
560,9.722222222
561,9.722222222
562,9.722222222
563,9.722222222
564,9.722222222
565,9.722222222
566,9.722222222
567,9.722222222
568,9.722222222
569,8.916666667
570,8.111111111
571,7.277777778
572,6.472222222
573,5.666666667
574,4.861111111
575,4.055555556
576,3.25
577,2.416666667
578,1.611111111
579,0.805555556
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1.055555556
601,2.083333333
602,3.138888889
603,4.166666667
604,4.166666667
605,4.166666667
606,4.166666667
607,4.166666667
608,4.166666667
609,4.166666667
610,4.166666667
611,4.166666667
612,3.333333333
613,2.5
614,1.666666667
615,0.833333333
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0.75
639,0.083333333
640,2.222222222
641,2.972222222
642,3.694444444
643,4.444444444
644,5.194444444
645,5.916666667
646,6.666666667
647,7.416666667
648,8.138888889
649,8.888888889
650,8.888888889
651,8.888888889
652,8.888888889
653,8.888888889
654,8.888888889
655,8.888888889
656,8.888888889
657,8.888888889
658,8.888888889
659,8.888888889
660,8.888888889
661,8.888888889
662,8.888888889
663,8.888888889
664,8.888888889
665,8.888888889
666,8.888888889
667,8.888888889
668,8.888888889
669,8.888888889
670,8.888888889
671,8.888888889
672,8.888888889
673,8.888888889
674,8.083333333
675,7.277777778
676,6.472222222
677,5.666666667
678,4.861111111
679,4.027777778
680,3.222222222
681,2.416666667
682,1.611111111
683,0.805555556
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0.527777778
707,1.055555556
708,1.611111111
709,2.138888889
710,2.666666667
711,3.194444444
712,3.75
713,4.277777778
714,4.805555556
715,5.333333333
716,5.888888889
717,6.5
718,6.944444444
719,7.472222222
720,8
721,8.555555556
722,9.083333333
723,9.611111111
724,10.13888889
725,10.69444444
726,11.22222222
727,11.75
728,12.27777778
729,12.83333333
730,13.36111111
731,13.88888889
732,13.88888889
733,13.88888889
734,13.88888889
735,13.88888889
736,13.88888889
737,13.88888889
738,13.88888889
739,13.88888889
740,13.88888889
741,13.88888889
742,13.88888889
743,13.88888889
744,13.36111111
745,12.83333333
746,12.33333333
747,11.80555556
748,11.27777778
749,10.25
750,10.25
751,9.722222222
752,9.722222222
753,9.722222222
754,9.722222222
755,9.722222222
756,9.722222222
757,9.722222222
758,9.722222222
759,9.722222222
760,9.722222222
761,9.722222222
762,9.722222222
763,9.722222222
764,9.722222222
765,8.916666667
766,8.111111111
767,7.277777778
768,6.472222222
769,5.666666667
770,4.861111111
771,4.055555556
772,3.25
773,2.416666667
774,1.611111111
775,0.805555556
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0.833333333
806,1.666666667
807,2.5
808,3.333333333
809,4.166666667
810,4.166666667
811,4.166666667
812,4.777777778
813,5.388888889
814,6.027777778
815,6.638888889
816,7.25
817,7.861111111
818,8.5
819,9.111111111
820,9.722222222
821,9.722222222
822,9.722222222
823,10.25
824,10.77777778
825,11.27777778
826,11.80555556
827,12.33333333
828,12.86111111
829,13.36111111
830,13.88888889
831,13.88888889
832,13.88888889
833,14.30555556
834,14.75
835,15.16666667
836,15.61111111
837,16.02777778
838,16.44444444
839,16.88888889
840,17.30555556
841,17.72222222
842,18.16666667
843,18.58333333
844,19.02777778
845,19.44444444
846,19.44444444
847,19.44444444
848,19.44444444
849,19.44444444
850,19.44444444
851,19.44444444
852,19.44444444
853,19.44444444
854,19.44444444
855,19.44444444
856,19.44444444
857,19.44444444
858,19.44444444
859,19.44444444
860,19.44444444
861,19.44444444
862,19.44444444
863,19.44444444
864,19.44444444
865,19.44444444
866,19.44444444
867,19.44444444
868,19.44444444
869,19.44444444
870,19.44444444
871,19.44444444
872,19.44444444
873,19.44444444
874,19.44444444
875,19.44444444
876,19.44444444
877,19.44444444
878,19.44444444
879,19.44444444
880,19.44444444
881,19.44444444
882,19.44444444
883,19.44444444
884,19.44444444
885,19.44444444
886,19.44444444
887,19.44444444
888,19.44444444
889,19.44444444
890,19.44444444
891,19.44444444
892,19.44444444
893,19.44444444
894,19.44444444
895,19.44444444
896,18.75
897,18.05555556
898,17.36111111
899,16.66666667
900,15.97222222
901,15.27777778
902,14.58333333
903,13.88888889
904,13.88888889
905,13.88888889
906,13.88888889
907,13.88888889
908,13.88888889
909,13.88888889
910,13.88888889
911,13.88888889
912,13.88888889
913,13.88888889
914,13.88888889
915,13.88888889
916,13.88888889
917,13.88888889
918,13.88888889
919,13.88888889
920,13.88888889
921,13.88888889
922,13.88888889
923,13.88888889
924,13.88888889
925,13.88888889
926,13.88888889
927,13.88888889
928,13.88888889
929,13.88888889
930,13.88888889
931,13.88888889
932,13.88888889
933,13.88888889
934,13.88888889
935,13.88888889
936,13.88888889
937,13.88888889
938,13.88888889
939,13.88888889
940,13.88888889
941,13.88888889
942,13.88888889
943,13.88888889
944,13.88888889
945,13.88888889
946,13.88888889
947,13.88888889
948,13.88888889
949,13.88888889
950,13.88888889
951,13.88888889
952,13.88888889
953,13.88888889
954,13.88888889
955,13.88888889
956,13.88888889
957,13.88888889
958,13.88888889
959,13.88888889
960,13.88888889
961,13.88888889
962,13.88888889
963,13.88888889
964,13.88888889
965,13.88888889
966,13.88888889
967,13.88888889
968,13.88888889
969,13.88888889
970,13.88888889
971,13.88888889
972,13.88888889
973,14.30555556
974,14.75
975,15.16666667
976,15.61111111
977,16.02777778
978,16.44444444
979,16.88888889
980,17.30555556
981,17.72222222
982,18.16666667
983,18.58333333
984,19.02777778
985,19.44444444
986,19.44444444
987,19.44444444
988,19.44444444
989,19.44444444
990,19.44444444
991,19.44444444
992,19.44444444
993,19.44444444
994,19.44444444
995,19.44444444
996,19.44444444
997,19.44444444
998,19.44444444
999,19.44444444
1000,19.44444444
1001,19.44444444
1002,19.44444444
1003,19.44444444
1004,19.44444444
1005,19.44444444
1006,19.44444444
1007,19.44444444
1008,19.44444444
1009,19.44444444
1010,19.44444444
1011,19.44444444
1012,19.44444444
1013,19.44444444
1014,19.44444444
1015,19.44444444
1016,19.44444444
1017,19.44444444
1018,19.44444444
1019,19.44444444
1020,19.44444444
1021,19.44444444
1022,19.44444444
1023,19.44444444
1024,19.44444444
1025,19.44444444
1026,19.44444444
1027,19.44444444
1028,19.44444444
1029,19.44444444
1030,19.44444444
1031,19.44444444
1032,19.44444444
1033,19.44444444
1034,19.44444444
1035,19.44444444
1036,19.69444444
1037,19.91666667
1038,20.16666667
1039,20.38888889
1040,20.63888889
1041,20.86111111
1042,21.11111111
1043,21.36111111
1044,21.58333333
1045,21.83333333
1046,22.05555556
1047,22.30555556
1048,22.52777778
1049,22.77777778
1050,23.02777778
1051,23.25
1052,23.5
1053,23.72222222
1054,23.97222222
1055,24.19444444
1056,24.44444444
1057,24.69444444
1058,24.91666667
1059,25.16666667
1060,25.38888889
1061,25.63888889
1062,25.86111111
1063,26.11111111
1064,26.36111111
1065,26.58333333
1066,26.83333333
1067,27.05555556
1068,27.30555556
1069,27.52777778
1070,27.77777778
1071,27.77777778
1072,27.77777778
1073,27.77777778
1074,27.77777778
1075,27.77777778
1076,27.77777778
1077,27.77777778
1078,27.77777778
1079,27.77777778
1080,27.77777778
1081,27.77777778
1082,27.77777778
1083,27.77777778
1084,27.77777778
1085,27.77777778
1086,27.77777778
1087,27.77777778
1088,27.77777778
1089,27.77777778
1090,27.77777778
1091,27.77777778
1092,27.77777778
1093,27.77777778
1094,27.77777778
1095,27.77777778
1096,27.77777778
1097,27.77777778
1098,27.77777778
1099,27.77777778
1100,27.77777778
1101,28.05555556
1102,28.33333333
1103,28.61111111
1104,28.88888889
1105,29.16666667
1106,29.44444444
1107,29.72222222
1108,30
1109,30.27777778
1110,30.55555556
1111,30.83333333
1112,31.11111111
1113,31.38888889
1114,31.66666667
1115,31.94444444
1116,32.22222222
1117,32.5
1118,32.77777778
1119,33.05555556
1120,33.33333333
1121,33.33333333
1122,33.33333333
1123,33.33333333
1124,33.33333333
1125,33.33333333
1126,33.33333333
1127,33.33333333
1128,33.33333333
1129,33.33333333
1130,33.33333333
1131,32.52777778
1132,31.94444444
1133,31.11111111
1134,30.55555556
1135,29.72222222
1136,29.16666667
1137,28.33333333
1138,27.77777778
1139,27.08333333
1140,26.38888889
1141,25.69444444
1142,25
1143,24.30555556
1144,23.61111111
1145,22.91666667
1146,22.22222222
1147,21.19444444
1148,20.13888889
1149,19.11111111
1150,18.05555556
1151,17.02777778
1152,15.97222222
1153,14.94444444
1154,13.88888889
1155,12.5
1156,11.11111111
1157,9.722222222
1158,8.333333333
1159,6.944444444
1160,5.555555556
1161,4.166666667
1162,2.777777778
1163,1.388888889
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
